ID,region,status,Case Number Full,Consulate,221g Date,End of 221g Date,solvedInDays,How Many Days in AP
10687,AF,Issued,2022AF1298,ADD,2022-Jul-21,2022-Aug-10,20,20
16663,AF,Issued,2022AF1331,NRB,2022-Jul-21,2022-Sep-30,71,71
9831,AF,Issued,2022AF1538,ADD,2022-Jul-21,2022-Aug-05,15,15
11480,AF,Administrative Processing,2022AF1742,ADD,2022-Jul-21,2022-Aug-19,29,29
9834,AF,Ready,2022AF1772,NRB,2022-Jul-18,2022-Aug-01,14,14
8060,AF,Refused,2022AF1954,ADD,2022-Jul-19,,,410
10701,AF,Issued,2022AF2255,ADD,2022-Jul-22,2022-Aug-11,20,20
9040,AF,Ready,2022AF2292,ADD,2022-Jul-20,2022-Jul-28,8,8
12339,AF,Administrative Processing,2022AF2364,NRB,2022-Jul-13,2022-Aug-26,44,44
12340,AF,Issued,2022AF2372,ADD,2022-Jul-20,2022-Aug-25,36,36
9840,AF,Administrative Processing,2022AF2440,ADD,2022-Jul-18,2022-Aug-02,15,15
16680,AF,Issued,2022AF2473,CRO,2022-Jul-21,2022-Sep-30,71,71
9043,AF,Administrative Processing,2022AF2537,CSB,2022-Jul-22,2022-Jul-29,7,7
15673,AF,Issued,2022AF2549,KIN,2022-Jul-15,2022-Sep-22,69,69
10704,AF,Administrative Processing,2022AF2721,KIN,2022-Jul-22,2022-Aug-10,19,19
10707,AF,Issued,2022AF2863,CRO,2022-Jul-21,2022-Aug-08,18,18
11492,AF,Issued,2022AF2942,CRO,2022-Jul-20,2022-Aug-16,27,27
9052,AF,Issued,2022AF2970,CRO,2022-Jul-20,2022-Jul-28,8,8
13242,AF,Ready,2022AF3091,ADD,2022-Jul-19,2022-Sep-02,45,45
9845,AF,Administrative Processing,2022AF3384,ADD,2022-Jul-18,2022-Aug-05,18,18
14000,AF,Issued,2022AF3414,CRO,2022-Jul-20,2022-Sep-07,49,49
9063,AF,Ready,2022AF3758,CRO,2022-Jul-20,2022-Jul-28,8,8
9068,AF,Administrative Processing,2022AF4346,CRO,2022-Jul-20,2022-Jul-28,8,8
16719,AF,Issued,2022AF4901,CRO,2022-Jul-21,2022-Sep-30,71,71
13264,AF,Issued,2022AF5163,CRO,2022-Jul-21,2022-Aug-30,40,40
13265,AF,Issued,2022AF5183,CRO,2022-Jul-21,2022-Aug-29,39,39
16730,AF,Issued,2022AF5884,CRO,2022-Jul-21,2022-Sep-30,71,71
9082,AF,Administrative Processing,2022AF6076,CRO,2022-Jul-20,2022-Jul-28,8,8
11516,AF,Administrative Processing,2022AF6696,KIN,2022-Jul-12,2022-Aug-17,36,36
13274,AF,Issued,2022AF6749,GUZ,2022-Jul-18,2022-Sep-01,45,45
9859,AF,Administrative Processing,2022AF7138,ADD,2022-Jul-18,2022-Aug-02,15,15
9862,AF,Administrative Processing,2022AF7235,ADD,2022-Jul-21,2022-Aug-02,12,12
8113,AF,Refused,2022AF7613,KIN,2022-Jul-19,,,410
10771,AF,Issued,2022AF8091,RID,2022-Jul-21,2022-Aug-10,20,20
8128,AF,Refused,2022AF9729,CSB,2022-Jul-13,,,416
15718,AF,Issued,2022AF10184,KIN,2022-Jul-12,2022-Sep-20,70,70
9099,AF,Issued,2022AF10514,LOM,2022-Jul-19,2022-Jul-29,10,10
16804,AF,Issued,2022AF11014,KIN,2022-Jul-14,2022-Sep-29,77,77
9106,AF,Administrative Processing,2022AF12016,KIN,2022-Jul-12,2022-Jul-29,17,17
12427,AF,Issued,2022AF12145,ABJ,2022-Jul-21,2022-Aug-23,33,33
